text_length,compression_ratio,runs_index,serial_index,bit_transition_frequency,fourier_transform_mean,fourier_transform_std,fourier_transform_peak,fourier_transform_energy,wavelet_transform_energy,perplexity,markov_chain_mean,markov_chain_std,character_pair_frequency_mean,character_pair_frequency_std,vowel_to_consonant_ratio,uppercase_to_lowercase_ratio,longest_run_of_identical_bytes,entropy_of_fft_components,algorithm
152,0.9802631578947368,148,146,699,339.169463619028,1037.788550210678,13019.0,181190232.0,1156538.5,1.0515170178659254,0.017241379310344827,0.09460964156985247,1.0342465753424657,0.18186189105961303,0.21359223300970873,0.9841269841269841,2,4.244938475916033,AES
140,1.0,140,138,633,316.95397862746023,1001.9187469212378,12007.0,154602140.0,1059293.5,1.0531074682472206,0.01638888888888889,0.09584701995663664,1.0072463768115942,0.08481666601970744,0.2777777777777778,1.0535714285714286,1,4.043176703946464,DES
140,1.0142857142857142,139,136,627,330.0974761862441,988.9962872607117,11888.0,152190920.0,1049263.0,1.054224108706152,0.016877334099396724,0.09684556362821307,1.0220588235294117,0.14687488496645718,0.23595505617977527,0.8333333333333334,2,4.127258185630657,Blowfish
152,0.993421052631579,147,148,699,331.0086701972037,1031.5746508393268,12909.0,178404376.0,1136809.5,1.050551140665006,0.016129032258064516,0.09338061212714045,1.0202702702702702,0.1409233352338798,0.2376237623762376,1.11864406779661,2,4.20052619758858,AES
140,1.0071428571428571,135,138,651,313.67726269176484,997.7838317342095,11982.0,153155239.99999997,1060202.0,1.0531074682472206,0.01716706302021403,0.09699167353146518,1.0072463768115942,0.08481666601970744,0.24468085106382978,1.2941176470588236,3,4.0549923883571735,DES
140,1.0071428571428571,138,138,629,331.9517010451664,971.9964342389433,11701.0,147695660.0,1013991.5,1.0531074682472206,0.01662698412698413,0.096858820343618,1.0072463768115942,0.08481666601970743,0.23595505617977527,1.2,2,4.169877981255583,Blowfish
152,0.993421052631579,150,150,681,341.51449167855225,1037.1223900647117,12983.0,181222760.00000003,1153778.5,1.0495861506763253,0.01639344262295082,0.09342105014135503,1.0066666666666666,0.08137703743822468,0.1619047619047619,1.0,2,4.2282637793544575,AES
140,0.9928571428571429,136,137,621,311.30755791615314,1004.8037641172933,12077.0,154916019.99999994,1080539.5000000002,1.0536656405543072,0.01847565157750343,0.09765014456298413,1.0145985401459854,0.11993924616901448,0.22916666666666666,0.9344262295081968,2,4.061585742406762,DES
140,1.0,140,135,639,323.46311286472877,932.8277518469633,11240.0,136471440.0,940640.0,1.0547828728595599,0.018071625344352617,0.09935582423855312,1.0296296296296297,0.1695633058112533,0.2804878048780488,1.441860465116279,1,4.18569745615657,Blowfish
152,0.9868421052631579,147,149,695,340.9175699086647,1011.8879436615354,12674.0,173301584.0,1103474.0,1.050068534820088,0.016129032258064516,0.09366043751123398,1.0134228187919463,0.11507669932538422,0.2857142857142857,1.0892857142857142,2,4.24553918641988,AES
140,1.0142857142857142,139,138,645,343.2667691875524,1018.8669810978956,12280.0,161829080.0,1112365.0,1.0531074682472206,0.017191835116924296,0.09572919514132508,1.0072463768115942,0.08481666601970744,0.20212765957446807,0.7936507936507936,2,4.1669535016252075,DES
140,1.0,136,135,627,336.3706445847511,961.4841597559675,11567.0,145263580.0,997224.5,1.0547828728595599,0.017777423469387755,0.09952101089961693,1.0296296296296297,0.1695633058112533,0.2716049382716049,1.1020408163265305,2,4.181161658204498,Blowfish
152,0.9868421052631579,149,149,701,338.205993916457,1051.8430042924567,13143.0,185555064.00000003,1183129.5,1.050068534820088,0.017543859649122806,0.0909868981910027,1.0134228187919463,0.1150766993253842,0.22,0.8484848484848485,2,4.1859585269045905,AES
